0.1919,0.8333,0.7263,0.8156,0.6271,0.9921,0.2257,0.1823,0.6399,0.9671,0.5113,0.9485,0.7809,0.2152,0.1815,0.4894,0.5941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1271,0.8611,0.1978,0.7969,0.7652,0.7631,0.3734,0.382,0.266,0.4476,0.3493,0.6813,0.8946,0.5625,0.8771,0.3805,0.8165,0.0403,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1909,0.8118,0.8141,0.2355,0.5996,0.5478,0.3314,0.7117,0.9215,0.6148,0.0923,0.9733,0.5008,0.9157,0.631,0.625,0.6787,0.4622,0.7088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6047,0.1008,0.8706,0.1416,0.2789,0.8482,0.2389,0.2058,0.7995,0.7422,0.7509,0.1729,0.0071,0.8828,0.3198,0.0173,0.2671,0.3453,0.0821,0.8501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.117,0.0153,0.6392,0.8834,0.6572,0.5497,0.801,0.2614,0.1182,0.1511,0.105,0.0423,0.2074,0.1067,0.2795,0.5385,0.63,0.5485,0.6667,0.2846,0.2991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6889,0.1445,0.9864,0.352,0.1978,0.7447,0.6733,0.4235,0.4956,0.9625,0.1656,0.2831,0.9256,0.8069,0.9605,0.2376,0.9281,0.185,0.7958,0.7218,0.8743,0.6339,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8107,0.1383,0.0878,0.9583,0.911,0.5623,0.4006,0.3583,0.6271,0.3275,0.3769,0.929,0.935,0.1557,0.2378,0.8166,0.7989,0.3975,0.6705,0.8998,0.5702,0.6923,0.8178,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1942,0.0533,0.4489,0.8238,0.169,0.3755,0.9295,0.5495,0.4415,0.2779,0.4193,0.0534,0.2724,0.1911,0.4625,0.3965,0.2615,0.5592,0.048,0.6817,0.4929,0.1424,0.8723,0.5407,1,,,,,,,,,,,,,,,,,,,,,,,,,
0.6076,0.8098,0.6254,0.7113,0.2553,0.7028,0.0169,0.4546,0.4735,0.8172,0.0381,0.3493,0.4241,0.7046,0.8473,0.5266,0.5816,0.0263,0.732,0.4682,0.3379,0.8359,0.7556,0.7556,0.0243,1,,,,,,,,,,,,,,,,,,,,,,,,
0.3934,0.1397,0.7188,0.6626,0.0808,0.259,0.4872,0.8107,0.0504,0.8211,0.5358,0.3383,0.1,0.9646,0.7257,0.0657,0.7558,0.365,0.632,0.8501,0.7678,0.8948,0.6772,0.6364,0.8969,0.5094,1,,,,,,,,,,,,,,,,,,,,,,,
0.5592,0.0165,0.9214,0.9457,0.4808,0.862,0.5682,0.7309,0.6847,0.9198,0.8545,0.0143,0.8874,0.5741,0.0669,0.7529,0.3214,0.8956,0.4351,0.645,0.9646,0.1972,0.1784,0.2102,0.7586,0.455,0.698,1,,,,,,,,,,,,,,,,,,,,,,
0.4047,0.4267,0.8096,0.5986,0.6475,0.4863,0.0735,0.7992,0.4284,0.2276,0.1317,0.3694,0.9632,0.3341,0.3284,0.0552,0.1095,0.1468,0.2056,0.2032,0.2653,0.6059,0.9423,0.5173,0.1915,0.6455,0.291,0.2147,1,,,,,,,,,,,,,,,,,,,,,
0.9142,0.3791,0.0506,0.9073,0.3706,0.8557,0.755,0.6772,0.7246,0.1177,0.6185,0.6899,0.5357,0.2809,0.325,0.8433,0.8744,0.8063,0.3842,0.5875,0.2245,0.4053,0.6424,0.3903,0.8575,0.4974,0.2583,0.3887,0.7764,1,,,,,,,,,,,,,,,,,,,,
0.1453,0.641,0.3027,0.9483,0.0832,0.0567,0.4024,0.4059,0.2436,0.2102,0.6733,0.6911,0.0984,0.6214,0.0362,0.6687,0.986,0.052,0.8329,0.5979,0.7287,0.0739,0.8089,0.1555,0.6255,0.043,0.2146,0.3712,0.9728,0.7243,1,,,,,,,,,,,,,,,,,,,
0.6078,0.9574,0.2453,0.1671,0.3165,0.0131,0.8374,0.4741,0.795,0.7692,0.729,0.3541,0.3657,0.6669,0.5155,0.2589,0.6823,0.9739,0.263,0.2168,0.5409,0.3178,0.7339,0.9237,0.2677,0.8319,0.5699,0.0016,0.3558,0.2514,0.8568,1,,,,,,,,,,,,,,,,,,
0.8374,0.4206,0.7711,0.0837,0.6753,0.0649,0.9707,0.2903,0.2495,0.9537,0.0283,0.7249,0.0508,0.6873,0.8645,0.069,0.2186,0.8364,0.4153,0.8059,0.5088,0.9906,0.1897,0.3829,0.3105,0.8691,0.7059,0.3573,0.662,0.7312,0.2432,0.0517,1,,,,,,,,,,,,,,,,,
0.1796,0.722,0.1157,0.7627,0.4513,0.7099,0.9554,0.3898,0.0179,0.5546,0.8465,0.4664,0.5297,0.4717,0.113,0.8821,0.7293,0.7086,0.1647,0.3705,0.0525,0.0387,0.4978,0.1852,0.6948,0.7739,0.4875,0.3529,0.2754,0.4497,0.1238,0.2224,0.8043,1,,,,,,,,,,,,,,,,
0.9397,0.9921,0.6242,0.3624,0.6149,0.8149,0.9999,0.2239,0.357,0.2908,0.0145,0.9426,0.2284,0.5034,0.9266,0.73,0.7838,0.6253,0.5237,0.664,0.4343,0.9273,0.7887,0.8258,0.57,0.2744,0.7365,0.2607,0.5207,0.4015,0.5312,0.9477,0.725,0.4832,1,,,,,,,,,,,,,,,
0.6762,0.803,0.9158,0.707,0.749,0.1785,0.4337,0.4431,0.9235,0.8523,0.0831,0.4311,0.8316,0.9782,0.1902,0.4595,0.0479,0.5966,0.0264,0.7545,0.0425,0.1221,0.2863,0.542,0.8685,0.3219,0.7018,0.7329,0.1949,0.6905,0.1346,0.068,0.9666,0.5565,0.7209,1,,,,,,,,,,,,,,
0.2987,0.3535,0.3301,0.283,0.4047,0.3862,0.5176,0.3362,0.2355,0.7515,0.8058,0.9398,0.0128,0.6732,0.9291,0.0649,0.4744,0.8735,0.1843,0.4956,0.1961,0.2241,0.994,0.7942,0.0436,0.7744,0.4037,0.8976,0.7126,0.5148,0.6039,0.616,0.6606,0.4106,0.5131,0.768,1,,,,,,,,,,,,,
0.965,0.4441,0.7161,0.4706,0.2636,0.8604,0.6585,0.57,0.054,0.4805,0.1835,0.3481,0.1785,0.3097,0.4717,0.7967,0.0552,0.6493,0.4675,0.0484,0.2689,0.9717,0.8725,0.9334,0.903,0.1434,0.3609,0.945,0.439,0.4153,0.7634,0.1072,0.5814,0.5611,0.6314,0.8545,0.5929,1,,,,,,,,,,,,
0.7061,0.1596,0.8461,0.6451,0.263,0.6479,0.5444,0.7255,0.8032,0.8757,0.906,0.4433,0.3041,0.0636,0.0821,0.9563,0.3881,0.8871,0.3253,0.3021,0.5407,0.1166,0.4456,0.2235,0.6987,0.5586,0.1911,0.0534,0.2733,0.199,0.5996,0.7722,0.6038,0.2783,0.7479,0.5615,0.9082,0.3495,1,,,,,,,,,,,
0.9597,0.3564,0.5522,0.1762,0.9073,0.7301,0.5123,0.2345,0.4323,0.1025,0.276,0.0572,0.8531,0.7684,0.5687,0.7844,0.9807,0.4074,0.969,0.1059,0.0661,0.158,0.9378,0.4172,0.8031,0.2396,0.0231,0.0742,0.0737,0.8775,0.1716,0.4989,0.5315,0.7601,0.1777,0.1992,0.421,0.5121,0.9729,1,,,,,,,,,,
0.3986,0.6149,0.708,0.7896,0.9714,0.0771,0.136,0.4002,0.2518,0.7543,0.0244,0.5903,0.645,0.0789,0.3186,0.1027,0.7429,0.9057,0.4981,0.1784,0.4085,0.1394,0.7872,0.9893,0.8752,0.9003,0.5017,0.1523,0.9965,0.1557,0.4753,0.9836,0.2281,0.2187,0.1374,0.9497,0.4744,0.0635,0.4344,0.2252,1,,,,,,,,,
0.6107,0.5331,0.5922,0.4419,0.9413,0.2913,0.0245,0.3295,0.0486,0.9125,0.2971,0.5056,0.6717,0.0082,0.9904,0.9541,0.5499,0.1173,0.7838,0.2005,0.62,0.3731,0.9866,0.2181,0.4544,0.6382,0.7664,0.3087,0.1199,0.4787,0.8012,0.8876,0.5906,0.9601,0.9678,0.9562,0.2312,0.9931,0.7268,0.1566,0.9021,1,,,,,,,,
0.5075,0.6106,0.6139,0.6293,0.6813,0.072,0.9787,0.6883,0.9467,0.288,0.6758,0.904,0.3518,0.6876,0.6604,0.2908,0.8611,0.4914,0.7223,0.3047,0.2402,0.9868,0.9618,0.0595,0.9982,0.5121,0.7105,0.9386,0.8784,0.5214,0.7846,0.3277,0.0461,0.4288,0.5473,0.9723,0.6794,0.1558,0.5544,0.6453,0.8052,0.9798,1,,,,,,,
0.636,0.8753,0.0766,0.3904,0.0084,0.3516,0.5599,0.3666,0.6477,0.1631,0.9169,0.5596,0.6074,0.2892,0.7773,0.4293,0.7775,0.1352,0.2776,0.1044,0.3893,0.6272,0.6256,0.2486,0.3556,0.3046,0.3563,0.3314,0.1541,0.4468,0.5052,0.8004,0.6873,0.9538,0.4566,0.318,0.4379,0.354,0.4685,0.1369,0.6937,0.6683,0.7415,1,,,,,,
0.3356,0.5611,0.6353,0.4428,0.9039,0.4531,0.0337,0.6646,0.4572,0.5894,0.1077,0.3338,0.2918,0.7269,0.4642,0.7594,0.0078,0.094,0.7188,0.6261,0.2006,0.4765,0.7367,0.2732,0.7576,0.1617,0.345,0.7626,0.0303,0.3063,0.1715,0.438,0.4989,0.3345,0.1115,0.4672,0.9408,0.1749,0.7213,0.4349,0.4383,0.1054,0.1258,0.9068,1,,,,,
0.78,0.1245,0.7238,0.7054,0.9987,0.5176,0.0608,0.1801,0.079,0.1039,0.0289,0.2809,0.1016,0.0061,0.5093,0.1294,0.0454,0.4603,0.2198,0.2256,0.9299,0.6837,0.9711,0.0442,0.9969,0.6386,0.4741,0.5948,0.3352,0.6548,0.0413,0.7398,0.2534,0.7591,0.9464,0.9462,0.5507,0.0596,0.8133,0.02,0.75,0.0114,0.6445,0.5078,0.1741,1,,,,
0.4965,0.4571,0.1732,0.9729,0.6067,0.7557,0.3536,0.3398,0.9655,0.2463,0.5693,0.0227,0.4697,0.8623,0.4333,0.533,0.5467,0.9787,0.9152,0.9403,0.2036,0.8753,0.4687,0.186,0.0574,0.8896,0.8434,0.1019,0.4254,0.5697,0.7096,0.4834,0.2925,0.2769,0.6308,0.0328,0.0317,0.7073,0.4622,0.7161,0.3754,0.5805,0.9855,0.1439,0.4174,0.3912,1,,,
0.4324,0.7103,0.8964,0.7048,0.8792,0.6379,0.4349,0.3356,0.8563,0.4106,0.2993,0.1485,0.0606,0.0531,0.926,0.4933,0.5512,0.7268,0.4247,0.2908,0.7034,0.5838,0.9324,0.0389,0.477,0.7914,0.5156,0.1706,0.893,0.0925,0.8743,0.2796,0.4396,0.4567,0.0853,0.2707,0.5577,0.6991,0.9138,0.2356,0.6601,0.7575,0.9498,0.4363,0.0655,0.0244,0.414,1,,
0.8285,0.261,0.9336,0.0304,0.2551,0.413,0.2077,0.7227,0.1134,0.0123,0.3698,0.345,0.357,0.8519,0.0862,0.2411,0.9883,0.3415,0.8463,0.8466,0.9637,0.9375,0.1623,0.4344,0.4408,0.1974,0.9341,0.7942,0.7563,0.5101,0.8454,0.7689,0.486,0.1973,0.6636,0.8393,0.0222,0.5658,0.0251,0.0822,0.3928,0.5051,0.7844,0.1031,0.0625,0.5478,0.4255,0.9073,1,
0.7601,0.9877,0.6432,0.6442,0.9724,0.5309,0.5585,0.4469,0.585,0.1352,0.9126,0.8058,0.6923,0.9679,0.4754,0.8948,0.6433,0.7472,0.3325,0.5889,0.0049,0.5682,0.212,0.3665,0.6746,0.2246,0.6682,0.4915,0.8018,0.3578,0.2728,0.1105,0.0476,0.9198,0.4801,0.5506,0.7818,0.6354,0.3163,0.2985,0.8389,0.6143,0.7917,0.2188,0.6546,0.2638,0.9075,0.1622,0.2276,1
